Degree,Field,SubField,COLLEGE,DURATION,COLLEGE FEE,NIRF AND OTHER RANK(2022),MIN MARKS FOR ELIGIBILITY,QUALIFIED DEGREE,Deadline ,ENTRANCE NAME AND DURATION,EXAM DETAILS,TEST DATE,APPLICATION PROCESS,APPLICATION FEE,SELECTION PROCESS,INTAKE,LINK,Scholarships/Fellowships,Unnamed: 19
Masters,Physics,Physics,"JNU, DELHI",2 Years,,"OVERALL #10, UNIVERSITY #2",0.55,bachelor’s degree in the relevant discipline,,CUET PG,,,,,,41.0,"https://www.jnu.ac.in/sites/default/files/admission/e-Prospectus-PG-ADOP-2022-23.pdf, https://www.jnu.ac.in/node",,
Masters,Life Science,Life Science,JNU Delhi,2 Years,₹ 982,OVERALL #10,at least 55% marks,"Bachelor’s (B.Sc. or B.Tech or equivalent) in Biological, Physical or Agricultural Sciences or Biotechnology",,JNUEE,100 Q,,,,,38.0,https://www.jnu.ac.in/admissions,,
Masters,Life Science,Life Science,JNU Delhi,3 Years,₹ 983,OVERALL #11,at least 55% marks,"Bachelor’s (B.Sc. or B.Tech or equivalent) in Biological, Physical or Agricultural Sciences or Biotechnology",,JNUEE,101 Q,,,,,10.1189427312775,https://www.jnu.ac.in/admissions,,
Masters,IT-ITeS,Computer Engineering,JMI New Delhi,2 Years,36.70 K,"OVERALL #13, UNIVERSITY #3","60% marks, or, grade of 6.75 on a 10 point grade","Bachelors Degree in Computer Engineering/ Computer Science/Information Technology or, MCA/M.Sc. (Computer Science)/ M.Sc.(IT)/ MSc.(IMCA) or equivalent",,,,,,,Score in JMI Entrance Test followed by an Interview,18.0,https://www.jmi.ac.in/aboutjamia/departments/Computer-Engg/courses-name/MTechComputer_Engineering-583/1,,
Masters,Mechanical Engineering,Mechanical Engineering,JMI New Delhi,2 Years,36.70 K,"OVERALL #13, UNIVERSITY #3",,,,,,,,,,30.0,https://www.jmi.ac.in/upload/programme/cs_fet_me_mtech_md.pdf,,
Masters,Physics,Physics,"Jamia Millia Islamia [JMI], Delhi",2 Years,"INR 1,04,800","OVERALL #13, UNIVERSITY #3",50% aggregate and at least 55% aggregate in the subject concerned,bachelor’s degree in the relevant discipline,,"Jamia Millia Islamia Entrance Exam, 5hr","MCQ QUESTIONS, MAX MARKS100 , MODERN BIOLOGY :80, CHEMISTRY AND MATH 20, NEGATIVE MARKING: -0.25 MARKS",,"Step 1: Visit Official website and scroll down., Step 2: On the Admission section in the left corner of the page, there are multiple links for course-wise application forms., Step 3: Click on the desired courses' application link, fill out the application form and pay the application fee.",,,40.0,http://jmicoe.in/,,
Masters,Life Science,Microbiology,"Jamia Millia Islamia [JMI], Delhi",2 Years,INR 104800,"OVERALL #13, UNIVERSITY #3",50% marks,Bachelor's degree in any area of Life sciences/ Medicine/ Agriculture/ Pharmacy,,"Jamia Millia Islamia Entrance Exam, 5hr","MCQ QUESTIONS, MAX MARKS100 , MODERN BIOLOGY :80, CHEMISTRY AND MATH 20, NEGATIVE MARKING: -0.25 MARKS",,"Step 1: Visit Official website and scroll down., Step 2: On the Admission section in the left corner of the page, there are multiple links for course-wise application forms., Step 3: Click on the desired courses' application link, fill out the application form and pay the application fee.",,,32.0,http://jmicoe.in/,,
Masters,Life Science,Biotechnology,Jamia Millia Islamia [JMI],2 YEARS,RS 15600,"OVERALL #13, UNIVERSITY #3",MIN 50% aggregate,", BPharma, BSc/ BSc (Hons) in: , Biosciences, Biotechnology, Biotechnology (Voc), BSc (Voc) in Biological Science, Bio-Chemistry, Microbiology, Genetics, in any area of Modern Biology .",,"Jamia Millia Islamia Entrance Exam, 5hr","MCQ QUESTIONS, MAX MARKS100 , MODERN BIOLOGY :80, CHEMISTRY AND MATH 20, NEGATIVE MARKING: -0.25 MARKS",https://www.jmi.ac.in/admissions,"1)Visit http://jmicoe.in/ and scroll down., 2) On the Admission section in the left corner of the page, there are multiple links for course-wise application forms., 3) Click on the desired courses' application link, fill out the application form and pay the application fee",Rs550,"Register and Apply, Entrance Test, Personal Interview",32.0,"https://www.jmi.ac.in/admissions, https://helpdesk.jmientrance.org/jamia-cutoff/",,
Masters,Mathematics,Mathematics,Jamia Millia Islamia (JMI),2 YEARS,₹46580,"OVERALL #13, UNIVERSITY #3",50% marks both in aggregate and in Mathematics,bachelor’s degree in the relevant discipline,,,,,,,"Entrance Test conducted by Jamia , Interview",50.0,http://jmicoe.in/,,
Masters,Chemistry,Chemistry,"Jadavpur University, Kolkata",2 Years,,"NAAC A Grade, UNIVERSITY #4",,passed Bachelor degree of 3 years duration (B.Sc. or equivalent) under 10+2+3 pattern,,,,,"apply for admission in the M.Sc. programme and appear in the entrance examination conducted by the university., Admission to the programme is provided through the combination of the merit of B.Sc. and entrance test., Enrollment of admission is done after verification of documents and payment of fees.",,"merit basis of B.Sc. results, entrance tests",35.0,"http://admissionas.jdvu.ac.in/jaduMsc/jadavpur/day/criteria.html, http://www.jaduniv.edu.in/",,
Masters,Life Science,Biotechnology,Jadavpur University,2 YEARS,,NAAC A Grade,"Gen: Minimum 55% marks in B.Sc., SC/ST/PD/Sports Category:Minimum 41% marks in B.Sc",,,,,,,,"two-tier entrance examination, 70% written test, 30% viva-voce",20.0,http://admissionas.jdvu.ac.in/jaduMsc/jadavpur/day/criteria.html,,
Masters,IT-ITeS,Computer Science,Jadavpur University,2 Years,₹ 9.60 K,"OVERALL #12, ENGINEERING #11",,BE/B. Tech degree,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,,,,18.0,"http://www.jaduniv.edu.in/#/#, https://gate.iitk.ac.in/",,
Masters,Chemical and Petrochemicals,Chemical Engineering,Jadavpur University,2 Years,₹ 9.60 K,"OVERALL #12, ENGINEERING #11",,BE/B. Tech degree,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,,,,17.0,"http://www.jaduniv.edu.in/#/#, https://gate.iitk.ac.in/",,
Masters,Mechanical Engineering,Mechanical Engineering,Jadavpur University,2 Years,₹ 9.60 K,"OVERALL #12, ENGINEERING #11",,BE/B. Tech degree,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,,,,22.0,"http://www.jaduniv.edu.in/#/#, https://gate.iitk.ac.in/",,
Masters,Electrical Engineering,Electrical Engineering,Jadavpur University,2 Years,₹ 9.60 K,"OVERALL #12, ENGINEERING #11",,BE/B. Tech degree,,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,,,,22.0,"http://www.jaduniv.edu.in/#/#, https://gate.iitk.ac.in/",,
Masters,Civil Engineering,Water Resources and Hydraulic Engineering,Jadavpur University,2 Years,₹ 9.60 K,OVERALL #12,,BE/B. Tech degree,,GATE,General Aptitude (GA),,,,,34.0,http://www.jaduniv.edu.in/#/#,,
Masters,Statistics,Statistics,"Indian Statistical Institute, Delhi",2 YEARS,40000,,,"A three-year Bachelor’s degree or a BE/B Tech degree with Statistics as a full subject, or, A B Math degree from ISI, or, A Post-Graduate Diploma in Statistical Methods with Applications/Statistical Methods and Analytics from ISI.",,,,2023-05-14 00:00:00,,,"DIRECT ADMISSION:B Stat (Hons) degree from ISI, Written Test and Interview: ALL OTHER CANDIDATES",50.0,https://www.isical.ac.in/,,
Masters,Life Science,Life Science,"INDIAN INSTITUTE OF SCIENCE, BANGLORE",2 YEARS,,"OVERALL:#2, RESEARCH:#1","science degree, A minimum of first class or equivalent in Bachelor’s or an equivalent degree in Physical, Chemical or Biological Sciences (including Biotechnology, Pharmaceutical, Veterinary Sciences and Agricultural Sciences)","b.tech/B.E, A minimum of first class or equivalent, ",October,"JAM 2023 in 1) Biotechnology (BT) or 2) Chemistry (CY) or 3) Mathematics (MA) or 4) Physics (PH) (or)  5) GATE in Biotechnology (BT), 6) Biomedical Engineering (BM), 7) Electronics Communication Engineering (EC), 8) Ecology (EY),  9) Mathematics (MA), 10) Physics (PH), 11)  Life Sciences (XL)","ONLINE TEST; 1 hour. 10 objective 1 essay type question,Similar to GATE Life Science and JAM Biology paper
",,,"GEN/OBC/EWS:1,21,200;     SC/ST:62,700","50% written test + 50% interview. Candidates will be short listed for test/interview based on their JAM 2022 in BT, CY, MA, PH score / GATE in BT, BM, EC, EY, MA, PH, XL score.",,50,,
Masters,Chemical Sciences,Chemical Sciences,"INDIAN INSTITUTE OF SCIENCE, BANGLORE",2 Years,32000(tuition)+1.46 Lakh(hostel),OVERALL:#2,First class,Candidate must have completed B.Sc. or equivalent degree with Chemistry as one of the main subjects with Mathematics at the PUC or Plus 2 level.,October,IIT JAM,,,,,,50.0,https://iisc.ac.in/admissions/msc-programmes/,,
Masters,IT-ITeS,Computer Science,IIT Ropar,2 Years,42.74 K,"OVERALL #35, ENGINEERING #22",CPI of 6.5 or 60% of marks or First Class in the qualifying degree,"valid score of GATE (except those having BTech degrees from an IIT with a minimum CPI of 7.0), MSc (Mathematics/Mathematics & Computing/Statistics), Bachelor’s degree in Engineering, MSc (Computer Science/Information Technology) or equivalent in an appropriate area, Graduates (AMIETE) , (IETE), or MCA",,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"Register for the exam tp create unique id and password, Log in  and enter personal information, Upload photograph, signature and other documents, Enter the GATE paper (subject) and Choice of examination cities, Pay the application fee through any of the electronic payment modes., After submission, check the status of the application form."," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE,20.0,"https://www.iitrpr.ac.in/mtech-admissions-2022-23, https://gate.iitk.ac.in/",,
Masters,Chemical and Petrochemicals,Chemical Engineering,IIT Ropar,2 Years,42.74 K,"OVERALL #35, ENGINEERING #22",CPI of 6.5 or 60% of marks or First Class in the qualifying degree,"valid score of GATE (except those having BTech degrees from an IIT with a minimum CPI of 7.0), MSc (Mathematics/Mathematics & Computing/Statistics), Bachelor’s degree in Engineering, MSc (Computer Science/Information Technology) or equivalent in an appropriate area, Graduates (AMIETE) , (IETE), or MCA",,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"Register for the exam tp create unique id and password, Log in  and enter personal information, Upload photograph, signature and other documents, Enter the GATE paper (subject) and Choice of examination cities, Pay the application fee through any of the electronic payment modes., After submission, check the status of the application form."," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE,11.0,"https://www.iitrpr.ac.in/mtech-admissions-2022-23, https://gate.iitk.ac.in/",,
Masters,Life Science,Biotechnology,IIT ROORKEE,2 YEARS,RS40000,"OVERALL #7, ENGINEERING #6","GEN/OBC/EWS: Minimum of 60% marks OR a CGPA of 6.0 on a 10-point scale in the last qualifying examination., SC/ST/PwD: Minimum of 55% marks OR a CGPA of 5.5 on a 10-point scale in the last qualifying examination.","Bachelor's degree (3/4/5 years) :Allied discipline with any biology subject, , , , , , , , ",October,"IIT JAM, exam duration 3 Hr","7 papers : 60 questions, three sections A, B, and C, Section A: 30 MCQs: 10Q 1 mark each, 20Q 2 marks each, Section A Negative marking -1/3(1 mark Q)and -2/3(2mark Q), Section B: 10 MSQs 2 mark each, Section C: 20 NAT questions: 10Q 1 mark each, 10Q 2 mark each, Subjects:Biotechnology (BL), Chemistry (CY), Geology (GG), Mathematics (MA), Mathematical Statistics (MS), Economics (EN), and Physics (PH)",2023-02-12 00:00:00,,https://jam.iitg.ac.in/application-fee.html,,30.0,"https://jam.iitr.ac.in/, https://collegedunia.com/exams/iit-jam/cutoff",,
Masters,IT-ITeS,Computer Science,IIT Roorkee,2 Years,1.29 L,"OVERALL #7, ENGINEERING #6",Candidates with First class or 60% (55% marks for SC/ST),B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,same as above," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE score and/or on the basis of the written test and interview,27.0,"https://www.iitr.ac.in/, https://gate.iitk.ac.in/",,
Masters,Chemical and Petrochemicals,Chemical Engineering,IIT Roorkee,2 Years,1.29 L,"OVERALL #7, ENGINEERING #6",Candidates with First class or 60% (55% marks for SC/ST),B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,same as above," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE score and/or on the basis of the written test and interview,,"https://www.iitr.ac.in/, https://gate.iitk.ac.in/",,
Masters,Electrical Engineering,Electric Drives and Power Electronics,IIT Roorkee,2 Years,1.29 L,"OVERALL #7, ENGINEERING #6",Candidates with First class or 60% (55% marks for SC/ST),B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,same as above," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE score and/or on the basis of the written test and interview,8.0,"https://www.iitr.ac.in/, https://gate.iitk.ac.in/",,
Masters,Civil Engineering,Structural Engineering,IIT Roorkee,2 Years,1.29 L,OVERALL #7,Candidates with First class or 60% (55% marks for SC/ST),B.E./B.Tech. degree in Computer Science & Engineering/ Information Technology,October,GATE,General Aptitude (GA),,same as above, male candidates :1500 INR  ,GATE score and/or on the basis of the written test and interview,18.0,https://www.iitr.ac.in/,,
Masters,IT-ITeS,Computer Science,IIT Patna,2 Years,60.15 K,"OVERALL #59, ENGINEERING #33","CPI of 6.5 or 60% of marks or First Class in the qualifying degree, B.Tech. from any of the IITs CPI or CGPA 8/10 or above. The requirement of valid GATE score is exempted.","valid score of GATE (except those having BTech degrees from an IIT with a minimum CPI of 7.0), MSc (Mathematics/Mathematics & Computing/Statistics), Bachelor’s degree in Engineering, MSc (Computer Science/Information Technology) or equivalent in an appropriate area, Graduates (AMIETE) , (IETE), or MCA",,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"Register for the exam tp create unique id and password, Log in  and enter personal information, Upload photograph, signature and other documents, Enter the GATE paper (subject) and Choice of examination cities, Pay the application fee through any of the electronic payment modes., , , , , After submission, check the status of the application form."," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR","GATE and test(if any), Interview for shortlisted",,"https://www.iitp.ac.in/, https://gate.iitk.ac.in/",,
Masters,Mechanical Engineering,Mechanical Engineering,IIT Patna,2 Years,60.15 K,"OVERALL #59, ENGINEERING #33","CPI of 6.5 or 60% of marks or First Class in the qualifying degree, B.Tech. from any of the IITs CPI or CGPA 8/10 or above. The requirement of valid GATE score is exempted.","valid score of GATE (except those having BTech degrees from an IIT with a minimum CPI of 7.0), MSc (Mathematics/Mathematics & Computing/Statistics), Bachelor’s degree in Engineering, MSc (Computer Science/Information Technology) or equivalent in an appropriate area, Graduates (AMIETE) , (IETE), or MCA",,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"Register for the exam tp create unique id and password, Log in  and enter personal information, Upload photograph, signature and other documents, Enter the GATE paper (subject) and Choice of examination cities, Pay the application fee through any of the electronic payment modes., After submission, check the status of the application form."," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR","GATE and test(if any), Interview for shortlisted",20.0,"https://www.iitp.ac.in/, https://gate.iitk.ac.in/",,
Masters,IT-ITeS,Computer Science,IIT Mandi,2 Years,75.50 K,"OVERALL #43, ENGINEERING #20",CPI of 6.5 or 60% of marks or First Class in the qualifying degree,"valid score of GATE (except those having BTech degrees from an IIT with a minimum CPI of 7.0), MSc (Mathematics/Mathematics & Computing/Statistics), Bachelor’s degree in Engineering, MSc (Computer Science/Information Technology) or equivalent in an appropriate area, Graduates (AMIETE) , (IETE), or MCA",,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"Register for the exam tp create unique id and password, Log in  and enter personal information, Upload photograph, signature and other documents, Enter the GATE paper (subject) and Choice of examination cities, Pay the application fee through any of the electronic payment modes., After submission, check the status of the application form."," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE,,"https://www.iitmandi.ac.in/, https://gate.iitk.ac.in/",,
Masters,Electrical Engineering,Electric Transportation,IIT Mandi,2 Years,75.50 K,"OVERALL #43, ENGINEERING #20",CPI of 6.5 or 60% of marks or First Class in the qualifying degree,"valid score of GATE (except those having BTech degrees from an IIT with a minimum CPI of 7.0), MSc (Mathematics/Mathematics & Computing/Statistics), Bachelor’s degree in Engineering, MSc (Computer Science/Information Technology) or equivalent in an appropriate area, Graduates (AMIETE) , (IETE), or MCA",,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"Register for the exam tp create unique id and password, Log in  and enter personal information, Upload photograph, signature and other documents, Enter the GATE paper (subject) and Choice of examination cities, Pay the application fee through any of the electronic payment modes., After submission, check the status of the application form."," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE,,"https://www.iitmandi.ac.in/, https://gate.iitk.ac.in/",,
Masters,IT-ITeS,Computer Science,IIT Madras,2 Years,₹ 66.45 K,"Overall #1, Research #2",,"FOR GATE(2020,2021,2022)QUALIFIED CANDIDATES, Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government*, Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government*, For Degrees obtained through Distance Education/ Correspondence Mode, Departments will follow suitability test/ interview procedure for screening., , , , , FOR IIT GRADUATES, Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s)., B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score)",October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"Register for the exam tp create unique id and password, Log in  and enter personal information, Upload photograph, signature and other documents, Enter the GATE paper (subject) and Choice of examination cities, Pay the application fee through any of the electronic payment modes., After submission, check the status of the application form."," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE,67.0,"http://mtechadm.iitm.ac.in/, https://gate.iitk.ac.in/, https://www.iitm.ac.in/academics/study-at-iitm/postgraduate-programmes",,
Masters,Chemical and Petrochemicals,Chemical Engineering,IIT Madras,2 Years,₹ 66.45 K,"Overall #1, Research #2",,"FOR GATE(2020,2021,2022)QUALIFIED CANDIDATES, Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government*, Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government*, For Degrees obtained through Distance Education/ Correspondence Mode, Departments will follow suitability test/ interview procedure for screening., , FOR IIT GRADUATES, Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s)., B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score)",October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"Register for the exam tp create unique id and password, Log in  and enter personal information, Upload photograph, signature and other documents, Enter the GATE paper (subject) and Choice of examination cities, Pay the application fee through any of the electronic payment modes., After submission, check the status of the application form."," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE,32.0,"http://mtechadm.iitm.ac.in/, https://gate.iitk.ac.in/, https://www.iitm.ac.in/academics/study-at-iitm/postgraduate-programmes",,
Masters,Mechanical Engineering,Solid Mechanics,IIT Madras,2 Years,₹ 66.45 K,"Overall #1, Research #2",,"FOR GATE(2020,2021,2022)QUALIFIED CANDIDATES, Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government*, Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government*, For Degrees obtained through Distance Education/ Correspondence Mode, Departments will follow suitability test/ interview procedure for screening., , FOR IIT GRADUATES, Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s)., B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score)",October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"Register for the exam tp create unique id and password, Log in  and enter personal information, Upload photograph, signature and other documents, Enter the GATE paper (subject) and Choice of examination cities, Pay the application fee through any of the electronic payment modes., After submission, check the status of the application form."," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE,,"http://mtechadm.iitm.ac.in/, https://gate.iitk.ac.in/, https://www.iitm.ac.in/academics/study-at-iitm/postgraduate-programmes",,
Masters,Electrical Engineering,Integrated Circuits and Systems,IIT Madras,2 Years,₹ 66.45 K,"Overall #1, Research #2",,"FOR GATE(2020,2021,2022)QUALIFIED CANDIDATES, Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government*, Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government*, For Degrees obtained through Distance Education/ Correspondence Mode, Departments will follow suitability test/ interview procedure for screening., , FOR IIT GRADUATES, Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s)., B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score)",October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"Register for the exam tp create unique id and password, Log in  and enter personal information, Upload photograph, signature and other documents, Enter the GATE paper (subject) and Choice of examination cities, Pay the application fee through any of the electronic payment modes., After submission, check the status of the application form."," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE,13.0,"http://mtechadm.iitm.ac.in/, https://gate.iitk.ac.in/, https://www.iitm.ac.in/academics/study-at-iitm/postgraduate-programmes",,
Masters,Civil Engineering,Civil Engineering,IIT Madras,2 Years,₹ 66.45 K,Overall #1,,"FOR GATE(2020,2021,2022)QUALIFIED CANDIDATES",October,GATE,General Aptitude (GA),,Register for the exam tp create unique id and password, male candidates :1500 INR  ,GATE,,http://mtechadm.iitm.ac.in/,,
Masters,Aerospace Engineering,Aerospace Engineering,IIT Madras,2 Years,₹ 66.45 K,"Overall #1, Research #2",,"FOR GATE(2020,2021,2022)QUALIFIED CANDIDATES, Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government*, Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government*, For Degrees obtained through Distance Education/ Correspondence Mode, Departments will follow suitability test/ interview procedure for screening., , FOR IIT GRADUATES, Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s)., B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score)",October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,"Register for the exam tp create unique id and password, Log in  and enter personal information, Upload photograph, signature and other documents, Enter the GATE paper (subject) and Choice of examination cities, Pay the application fee through any of the electronic payment modes., After submission, check the status of the application form."," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR",GATE,15.0,"http://mtechadm.iitm.ac.in/, https://gate.iitk.ac.in/, https://www.iitm.ac.in/academics/study-at-iitm/postgraduate-programmes",,
Masters,IT-ITeS,Computer Science,IIT Kharagpur,2 Years,45.85 K,"OVERALL #6, ENGINEERING #5","GE/OBC/EWS: Min. of 60% marks (or a CGPA of 6.5 on a 10 point scale), , SC/ST/PwD: Min. of 55% marks (or a CGPA of 6.0 on a 10 point scale)",Bachelor's Degree in Engineering/Technology/Architecture/M.Sc or equivalent professional degrees (AMIE etc.),October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,same as above," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR","GATE Score only or, GATE Score (70 % weightage) and a personal interview (30 % weightage)",84.0,"http://www.iitkgp.ac.in/, https://gate.iitk.ac.in/",,
Masters,Chemical and Petrochemicals,Chemical Engineering,IIT Kharagpur,2 Years,45.85 K,"OVERALL #6, ENGINEERING #5","GE/OBC/EWS: Min. of 60% marks (or a CGPA of 6.5 on a 10 point scale), , SC/ST/PwD: Min. of 55% marks (or a CGPA of 6.0 on a 10 point scale)",Bachelor's Degree in Engineering/Technology/Architecture/M.Sc or equivalent professional degrees (AMIE etc.),October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,same as above," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR","GATE Score only or, GATE Score (70 % weightage) and a personal interview (30 % weightage)",93.0,"http://www.iitkgp.ac.in/, https://gate.iitk.ac.in/",,
Masters,Mechanical Engineering,Cryogenic Engineering,IIT Kharagpur,2 Years,45.85 K,"OVERALL #6, ENGINEERING #5","GE/OBC/EWS: Min. of 60% marks (or a CGPA of 6.5 on a 10 point scale), , SC/ST/PwD: Min. of 55% marks (or a CGPA of 6.0 on a 10 point scale)",Bachelor's Degree in Engineering/Technology/Architecture/M.Sc or equivalent professional degrees (AMIE etc.),October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,same as above," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR","GATE Score only or, GATE Score (70 % weightage) and a personal interview (30 % weightage)",27.0,"http://www.iitkgp.ac.in/, https://gate.iitk.ac.in/",,
Masters,Electrical Engineering,Electrical Engineering,IIT Kharagpur,2 Years,45.85 K,"OVERALL #6, ENGINEERING #5","GE/OBC/EWS: Min. of 60% marks (or a CGPA of 6.5 on a 10 point scale), , SC/ST/PwD: Min. of 55% marks (or a CGPA of 6.0 on a 10 point scale)",Bachelor's Degree in Engineering/Technology/Architecture/M.Sc or equivalent professional degrees (AMIE etc.),October,"GATE, 3 Hours","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,same as above," male candidates :1500 INR  , female/SC/ST/OBC candIdates is 750 INR","GATE Score only or, GATE Score (70 % weightage) and a personal interview (30 % weightage)",84.0,"http://www.iitkgp.ac.in/, https://gate.iitk.ac.in/",,
